
acacia_button 金合欢木按钮
chiseled_bookshelf 雕纹书架
chiseled_deepslate 雕纹深板岩
chiseled_nether_bricks 雕纹下界砖块
chiseled_polished_blackstone 雕纹磨制黑石
chorus_flower 紫颂花
chorus_plant 紫颂植株
clay 黏土块
coal_block 煤炭块
coal_ore 煤矿石
cobbled_deepslate 深板岩圆石
cobbled_deepslate_double_slab 双层深板岩圆石台阶
cobbled_deepslate_slab 深板岩圆石台阶
cobbled_deepslate_stairs 深板岩圆石楼梯
cobbled_deepslate_wall 深板岩圆石墙
cobblestone 圆石
cobblestone_wall 圆石墙/苔石墙/花岗岩墙/闪长岩墙/安山岩墙/砂岩墙/红砖墙/石砖墙/苔石砖墙/末地石砖墙/下界砖墙/海晶石墙/红砂岩墙/红色下界砖墙
cocoa 可可果
command_block 命令方块
composter 堆肥桶
concrete_powder 混凝土粉末
conduit 潮涌核心
copper_block 铜块
copper_ore 铜矿石
coral_block 珊瑚块
coral_fan 珊瑚扇
coral_fan_dead 失活的珊瑚扇
coral_fan_hang 墙上的珊瑚扇
coral_fan_hang2 墙上的珊瑚扇
coral_fan_hang3 墙上的珊瑚扇
cracked_deepslate_bricks 裂纹深板岩砖
cracked_deepslate_tiles 裂纹深板岩瓦
cracked_nether_bricks 裂纹下界砖块
cracked_polished_blackstone_bricks 裂纹磨制黑石砖
crafting_table 工作台
crimson_button 绯红木按钮
crimson_door 绯红木门
crimson_double_slab 双绯红木台阶
crimson_fence 绯红木栅栏
crimson_fence_gate 绯红木栅栏门
crimson_fungus 绯红菌
crimson_hanging_sign 悬挂式绯红木告示牌
crimson_hyphae 绯红菌核
crimson_nylium 绯红菌岩
crimson_planks 绯红木板
crimson_pressure_plate 绯红木压力板
crimson_roots 绯红菌索
crimson_slab 绯红木台阶
crimson_stairs 绯红木楼梯
crimson_standing_sign 绯红木告示牌
crimson_stem 绯红菌柄
crimson_trapdoor 绯红木活板门
crimson_wall_sign 墙上的绯红木告示牌
crying_obsidian 哭泣的黑曜石
cut_copper 切制铜块
cut_copper_slab 切制铜台阶
cut_copper_stairs 切制铜楼梯
cyan_candle 青色蜡烛
cyan_candle_cake 插上青色蜡烛的蛋糕
cyan_carpet 青色地毯
cyan_concrete 青色混凝土
cyan_glazed_terracotta 青色带釉陶瓦
cyan_shulker_box 青色潜影盒
cyan_wool 青色羊毛
dark_oak_button 深色橡木按钮
dark_oak_door 深色橡木门
dark_oak_fence 深色橡木栅栏
dark_oak_fence_gate 深色橡木栅栏门
dark_oak_hanging_sign 悬挂式深色橡木告示牌
dark_oak_log 深色橡木原木
dark_oak_pressure_plate 深色橡木压力板
dark_oak_stairs 深色橡木楼梯
dark_oak_trapdoor 深色橡木活板门
dark_prismarine_stairs 暗海晶石楼梯
darkoak_standing_sign 深色橡木告示牌
darkoak_wall_sign 墙上的深色橡木告示牌
daylight_detector 阳光探测器
daylight_detector_inverted 反向阳光探测器
dead_brain_coral 失活的脑纹珊瑚
dead_bubble_coral 失活的气泡珊瑚
dead_fire_coral 失活的火珊瑚
dead_horn_coral 失活的鹿角珊瑚
dead_tube_coral 失活的管珊瑚
deadbush 枯萎的灌木
decorated_pot 饰纹陶罐
deepslate 深板岩
deepslate_brick_double_slab 双层深板岩砖台阶
deepslate_brick_slab 深板岩砖台阶
deepslate_brick_stairs 深板岩砖楼梯
deepslate_brick_wall 深板岩砖墙
deepslate_bricks 深板岩砖
deepslate_coal_ore 深层煤矿石
deepslate_copper_ore 深层铜矿石
deepslate_diamond_ore 深层钻石矿石
deepslate_emerald_ore 深层绿宝石矿石
deepslate_gold_ore 深层金矿石
deepslate_iron_ore 深层铁矿石
deepslate_lapis_ore 深层青金石矿石
deepslate_redstone_ore 深层红石矿石
deepslate_tile_double_slab 双层深板岩瓦台阶
deepslate_tile_slab 深板岩瓦台阶
deepslate_tile_stairs 深板岩瓦楼梯
deepslate_tile_wall 深板岩瓦墙
deepslate_tiles 深板岩瓦
deny 拒绝方块
detector_rail 探测铁轨
diamond_block 钻石块
diamond_ore 钻石矿石
diorite_stairs 闪长岩楼梯
dirt 泥土/砂土
dirt_with_roots 缠根泥土
dispenser 发射器
double_cut_copper_slab 双切制铜台阶
double_plant 向日葵/丁香/高草丛/大型蕨/玫瑰丛/牡丹
double_stone_block_slab 双层平滑石头台阶/双层砂岩台阶/双层石化橡木台阶/双层圆石台阶/双层砖块台阶/双层石砖台阶/双层石英台阶/双层下界砖台阶
double_stone_block_slab2 双层红砂岩台阶/双层紫珀台阶/双层海晶石台阶/双层暗海晶石台阶/双层海晶石砖台阶/双层苔石台阶/双层平滑砂岩台阶/双层红色下界砖台阶
double_stone_block_slab3 双层末地石砖台阶/双层平滑红砂岩台阶/双层磨制安山岩台阶/双层安山岩台阶/双层闪长岩台阶/双层磨制闪长岩台阶/双层花岗岩台阶/双层磨制花岗岩台阶
double_stone_block_slab4 双层苔石砖台阶/双层平滑石英台阶/双层石台阶/双层切制砂岩台阶/双层切制红砂岩台阶
double_wooden_slab 双层橡木台阶/双层云杉台阶/双层桦木台阶/双层丛林台阶/双层金合欢台阶/双层深色橡木台阶
dragon_egg 龙蛋
dried_kelp_block 干海带块
dripstone_block 滴水石块
dropper 投掷器
element_0 ???
element_1 氢
element_10 氖
element_100 镄
element_101 钔
element_102 锘
element_103 铹
element_104 鑪
element_105 𨧀
element_106 𨭎
element_107 𨨏
element_108 𨭆
element_109 䥑
element_11 钠
element_110 鐽
element_111 錀
element_112 鎶
element_113 鉨
element_114 鈇
element_115 镆
element_116 鉝
element_117 Tennessine
element_118 Oganesson
element_12 镁
element_13 铝
element_14 硅
element_15 磷
element_16 硫
element_17 氯
element_18 氩
element_19 钾
element_2 氦
element_20 钙
element_21 钪
element_22 钛
element_23 钒
element_24 铬
element_25 锰
element_26 铁
element_27 钴
element_28 镍
element_29 铜
element_3 锂
element_30 锌
element_31 镓
element_32 锗
element_33 砷
element_34 硒
element_35 溴
element_36 氪
element_37 铷
element_38 锶
element_39 钇
element_4 铍
element_40 锆
element_41 铌
element_42 钼
element_43 锝
element_44 钌
element_45 铑
element_46 钯
element_47 银
element_48 镉
element_49 铟
element_5 硼
element_50 锡
element_51 锑
element_52 碲
element_53 碘
element_54 氙
element_55 铯
element_56 钡
element_57 镧
element_58 铈
element_59 镨
element_6 碳
element_60 钕
element_61 钷
element_62 钐
element_63 铕
element_64 钆
element_65 铽
element_66 镝
element_67 钬
element_68 铒
element_69 铥
element_7 氮
element_70 镱
element_71 镥
element_72 铪
element_73 钽
element_74 钨
element_75 铼
element_76 锇
element_77 铱
element_78 铂
element_79 金
element_8 氧
element_80 汞
element_81 铊
element_82 铅
element_83 铋
element_84 钋
element_85 砹
element_86 氡
element_87 钫
element_88 镭
element_89 锕
element_9 氟
element_90 钍
element_91 镤
element_92 铀
element_93 镎
element_94 钚
element_95 镅
element_96 锔
element_97 锫
element_98 锎
element_99 锿
emerald_block 绿宝石块
emerald_ore 绿宝石矿石
enchanting_table 附魔台
end_brick_stairs 末地石砖楼梯
end_bricks 末地石砖
end_portal 末地传送门
end_portal_frame 末地传送门框架
end_rod 末地烛
end_stone 末地石
ender_chest 末影箱
exposed_copper 斑驳的铜块
exposed_cut_copper 斑驳的切制铜块
exposed_cut_copper_slab 斑驳的切制铜台阶
exposed_cut_copper_stairs 斑驳的切制铜楼梯
exposed_double_cut_copper_slab 斑驳的双切制铜台阶
farmland 耕地
fence_gate 橡木栅栏门
fire 火
fire_coral 火珊瑚
fletching_table 制箭台
flower_pot 花盆
flowering_azalea 盛开的杜鹃花丛
flowing_lava 流动熔岩
flowing_water 流动水
frame 物品展示框
frog_spawn 青蛙卵
frosted_ice 霜冰
furnace 熔炉
gilded_blackstone 镶金黑石
glass 玻璃
glass_pane 玻璃板
glow_frame 荧光物品展示框
glow_lichen 发光地衣
glowstone 荧石
gold_block 金块
gold_ore 金矿石
golden_rail 动力铁轨
granite_stairs 花岗岩楼梯
grass 草
grass_path 草径
gravel 沙砾
gray_candle 灰色蜡烛
gray_candle_cake 插上灰色蜡烛的蛋糕
gray_carpet 灰色地毯
gray_concrete 灰色混凝土
gray_glazed_terracotta 灰色带釉陶瓦
gray_shulker_box 灰色潜影盒
gray_wool 灰色羊毛
green_candle 绿色蜡烛
green_candle_cake 插上绿色蜡烛的蛋糕
green_carpet 绿色地毯
green_concrete 绿色混凝土
green_glazed_terracotta 绿色带釉陶瓦
green_shulker_box 绿色潜影盒
green_wool 绿色羊毛
grindstone 砂轮
hanging_roots 垂根
hardened_clay 陶瓦
hay_block 干草捆
heavy_weighted_pressure_plate 重质测重压力板
honey_block 蜂蜜块
honeycomb_block 蜜脾块
hopper 漏斗
horn_coral 鹿角珊瑚
ice 冰
infested_deepslate 虫蚀深板岩
iron_bars 铁栏杆
iron_block 铁块
iron_door 铁门
iron_ore 铁矿石
iron_trapdoor 铁活板门
jukebox 唱片机
jungle_button 丛林木按钮
jungle_door 丛林木门
jungle_fence 丛林木栅栏
jungle_fence_gate 丛林木栅栏门
jungle_hanging_sign 悬挂式丛林木告示牌
jungle_log 丛林原木
jungle_pressure_plate 丛林木压力板
jungle_stairs 丛林木楼梯
jungle_standing_sign 丛林木告示牌
jungle_trapdoor 丛林木活板门
jungle_wall_sign 墙上的丛林木告示牌
kelp 海带
ladder 梯子
lantern 灯笼
lapis_block 青金石块
lapis_ore 青金石矿石
large_amethyst_bud 大型紫晶芽
lava 熔岩
leaves 橡树树叶/云杉树叶/白桦树叶/丛林树叶
leaves2 金合欢树叶/深色橡树树叶
lectern 讲台
lever 拉杆
light_block 光源方块
light_blue_candle 淡蓝色蜡烛
light_blue_candle_cake 插上淡蓝色蜡烛的蛋糕
light_blue_carpet 淡蓝色地毯
light_blue_concrete 淡蓝色混凝土
light_blue_glazed_terracotta 淡蓝色带釉陶瓦
light_blue_shulker_box 淡蓝色潜影盒
light_blue_wool 淡蓝色羊毛
light_gray_candle 淡灰色蜡烛
light_gray_candle_cake 插上淡灰色蜡烛的蛋糕
light_gray_carpet 淡灰色地毯
light_gray_concrete 淡灰色混凝土
light_gray_shulker_box 淡灰色潜影盒
light_gray_wool 淡灰色羊毛
light_weighted_pressure_plate 轻质测重压力板
lightning_rod 避雷针
lime_candle 黄绿色蜡烛
lime_candle_cake 插上黄绿色蜡烛的蛋糕
lime_carpet 黄绿色地毯
lime_concrete 黄绿色混凝土
lime_glazed_terracotta 黄绿色带釉陶瓦
lime_shulker_box 黄绿色潜影盒
lime_wool 黄绿色羊毛
lit_blast_furnace 燃烧中的高炉
lit_deepslate_redstone_ore 点亮的深层红石矿石
lit_furnace 燃烧中的熔炉
lit_pumpkin 南瓜灯
lit_redstone_lamp 点亮的红石灯
lit_redstone_ore 点亮的红石矿石
lit_smoker 燃烧中的烟熏炉
lodestone 磁石
loom 织布机
magenta_candle 品红色蜡烛
magenta_candle_cake 插上品红色蜡烛的蛋糕
magenta_carpet 品红色地毯
magenta_concrete 品红色混凝土
magenta_glazed_terracotta 品红色带釉陶瓦
magenta_shulker_box 品红色潜影盒
magenta_wool 品红色羊毛
magma 岩浆块
mangrove_button 红树木按钮
mangrove_door 红树木门
mangrove_double_slab 双红树木台阶
mangrove_fence 红树木栅栏
mangrove_fence_gate 红树木栅栏门
mangrove_hanging_sign 悬挂式红树木告示牌
mangrove_leaves 红树树叶
mangrove_log 红树原木
mangrove_planks 红树木板
mangrove_pressure_plate 红树木压力板
mangrove_propagule 红树胎生苗
mangrove_roots 红树根
mangrove_slab 红树木台阶
mangrove_stairs 红树木楼梯
mangrove_standing_sign 红树木告示牌
mangrove_trapdoor 红树木活板门
mangrove_wall_sign 墙上的红树木告示牌
mangrove_wood 红树木
medium_amethyst_bud 中型紫晶芽
melon_block 西瓜
melon_stem 西瓜茎
mob_spawner 刷怪笼
monster_egg 虫蚀石头/虫蚀圆石/虫蚀石砖/虫蚀苔石砖/虫蚀裂纹石砖/虫蚀雕纹石砖
moss_block 苔藓块
moss_carpet 覆地苔藓
mossy_cobblestone 苔石
mossy_cobblestone_stairs 苔石楼梯
mossy_stone_brick_stairs 苔石砖楼梯
mud 泥巴
mud_brick_double_slab 双层泥砖台阶
mud_brick_slab 泥砖台阶
mud_brick_stairs 泥砖楼梯
mud_brick_wall 泥砖墙
mud_bricks 泥砖
muddy_mangrove_roots 沾泥的红树根
mycelium 菌丝体
nether_brick 下界砖
nether_brick_fence 下界砖栅栏
nether_brick_stairs 下界砖楼梯
nether_gold_ore 下界金矿石
nether_sprouts 下界苗
nether_wart 下界疣
nether_wart_block 下界疣块
netherite_block 下界合金块
netherrack 下界岩
normal_stone_stairs 石头楼梯
noteblock 音符盒
oak_fence 橡木栅栏
oak_hanging_sign 悬挂式橡木告示牌
oak_log 橡木原木
oak_stairs 橡木楼梯
observer 侦测器
obsidian 黑曜石
ochre_froglight 赭黄蛙明灯
orange_candle 橙色蜡烛
orange_candle_cake 插上橙色蜡烛的蛋糕
orange_carpet 橙色地毯
orange_concrete 橙色混凝土
orange_glazed_terracotta 橙色带釉陶瓦
orange_shulker_box 橙色潜影盒
orange_wool 橙色羊毛
oxidized_copper 氧化的铜块
oxidized_cut_copper 氧化的切制铜块
oxidized_cut_copper_slab 氧化的切制铜台阶
oxidized_cut_copper_stairs 氧化的切制铜楼梯
oxidized_double_cut_copper_slab 氧化的双切制铜台阶
packed_ice 浮冰
packed_mud 泥坯
pearlescent_froglight 珠光蛙明灯
pink_candle 粉红色蜡烛
pink_candle_cake 插上粉红色蜡烛的蛋糕
pink_carpet 粉红色地毯
pink_concrete 粉红色混凝土
pink_glazed_terracotta 粉红色带釉陶瓦
pink_petals 粉红色花簇
pink_shulker_box 粉红色潜影盒
pink_wool 粉红色羊毛
piston 活塞
piston_arm_collision 活塞头
pitcher_crop 瓶子草植株
pitcher_plant 瓶子草
planks 橡木木板/云杉木板/白桦木板/丛林木板/金合欢木板/深色橡木木板
podzol 灰化土
pointed_dripstone 滴水石锥
polished_andesite_stairs 磨制安山岩楼梯
polished_basalt 磨制玄武岩
polished_blackstone 磨制黑石
polished_blackstone_brick_double_slab 双层磨制黑石砖台阶
polished_blackstone_brick_slab 磨制黑石砖台阶
polished_blackstone_brick_stairs 磨制黑石砖楼梯
polished_blackstone_brick_wall 磨制黑石砖墙
polished_blackstone_bricks 磨制黑石砖
polished_blackstone_button 磨制黑石按钮
polished_blackstone_double_slab 双层磨制黑石台阶
polished_blackstone_pressure_plate 磨制黑石压力板
polished_blackstone_slab 磨制黑石台阶
polished_blackstone_stairs 磨制黑石楼梯
polished_blackstone_wall 磨制黑石墙
polished_deepslate 磨制深板岩
polished_deepslate_double_slab 双层磨制深板岩台阶
polished_deepslate_slab 磨制深板岩台阶
polished_deepslate_stairs 磨制深板岩楼梯
polished_deepslate_wall 磨制深板岩墙
polished_diorite_stairs 磨制闪长岩楼梯
polished_granite_stairs 磨制花岗岩楼梯
portal 下界传送门
potatoes 马铃薯
powder_snow 细雪
powered_comparator 激活的红石比较器
powered_repeater 激活的红石中继器
prismarine 海晶石/暗海晶石/海晶石砖
prismarine_bricks_stairs 海晶石砖楼梯
prismarine_stairs 海晶石楼梯
pumpkin 南瓜
pumpkin_stem 南瓜茎
purple_candle 紫色蜡烛
purple_candle_cake 插上紫色蜡烛的蛋糕
purple_carpet 紫色地毯
purple_concrete 紫色混凝土
purple_glazed_terracotta 紫色带釉陶瓦
purple_shulker_box 紫色潜影盒
purple_wool 紫色羊毛
purpur_block 紫珀块/雕纹紫珀块/紫珀柱/平滑紫珀块
purpur_stairs 紫珀楼梯
quartz_block 石英块/雕纹石英块/石英柱/平滑石英块
quartz_bricks 石英砖
quartz_ore 下界石英矿石
quartz_stairs 石英楼梯
rail 铁轨
raw_copper_block 粗铜块
raw_gold_block 粗金块
raw_iron_block 粗铁块
red_candle 红色蜡烛
red_candle_cake 插上红色蜡烛的蛋糕
red_carpet 红色地毯
red_concrete 红色混凝土
red_flower 虞美人/兰花/绒球葱/蓝花美耳草/红色郁金香/橙色郁金香/白色郁金香/粉红色郁金香/滨菊/矢车菊/铃兰
red_glazed_terracotta 红色带釉陶瓦
red_mushroom 红色蘑菇
red_mushroom_block 红色蘑菇方块
red_nether_brick 红色下界砖块
red_nether_brick_stairs 红色下界砖楼梯
red_sandstone 红砂岩/雕纹红砂岩/切制红砂岩/平滑红砂岩
red_sandstone_stairs 红砂岩楼梯
red_shulker_box 红色潜影盒
red_wool 红色羊毛
redstone_block 红石块
redstone_lamp 红石灯
redstone_ore 红石矿石
redstone_torch 红石火把
redstone_wire 红石线
reeds 甘蔗
reinforced_deepslate 强化深板岩
repeating_command_block 循环型命令方块
respawn_anchor 重生锚
sand 沙子/红沙
sandstone 砂岩/雕纹砂岩/切制砂岩/平滑砂岩
sandstone_stairs 砂岩楼梯
sapling 橡树树苗/云杉树苗/白桦树苗/丛林树苗/金合欢树苗/深色橡树树苗
scaffolding 脚手架
sculk 幽匿块
sculk_catalyst 幽匿催发体
sculk_sensor 幽匿感测体
sculk_shrieker 幽匿尖啸体
sculk_vein 幽匿脉络
sea_lantern 海晶灯
sea_pickle 海泡菜
seagrass 海草
shroomlight 菌光体
silver_glazed_terracotta 淡灰色带釉陶瓦
skull 生物头颅
slime 黏液块
small_amethyst_bud 小型紫晶芽
small_dripleaf_block 小型垂滴叶
smithing_table 锻造台
smoker 烟熏炉
smooth_basalt 平滑玄武岩
smooth_quartz_stairs 平滑石英楼梯
smooth_red_sandstone_stairs 平滑红砂岩楼梯
smooth_sandstone_stairs 平滑砂岩楼梯
smooth_stone 平滑石头
sniffer_egg 嗅探兽蛋
snow 雪块
snow_layer 顶层雪
soul_campfire 灵魂营火
soul_fire 灵魂火
soul_lantern 灵魂灯笼
soul_sand 灵魂沙
soul_soil 灵魂土
soul_torch 灵魂火把
sponge 海绵/湿海绵
spore_blossom 孢子花
spruce_button 云杉木按钮
spruce_door 云杉木门
spruce_fence 云杉木栅栏
spruce_fence_gate 云杉木栅栏门
spruce_hanging_sign 悬挂式云杉木告示牌
spruce_log 云杉原木
spruce_pressure_plate 云杉木压力板
spruce_stairs 云杉木楼梯
spruce_standing_sign 云杉木告示牌
spruce_trapdoor 云杉木活板门
spruce_wall_sign 墙上的云杉木告示牌
stained_glass 染色玻璃
stained_glass_pane 染色玻璃板
stained_hardened_clay 染色陶瓦
standing_banner 旗帜
standing_sign 橡木告示牌
sticky_piston 黏性活塞
sticky_piston_arm_collision 黏性活塞头
stone 石头/花岗岩/磨制花岗岩/闪长岩/磨制闪长岩/安山岩/磨制安山岩
stone_block_slab 平滑石头台阶/砂岩台阶/石化橡木台阶/圆石台阶/红砖台阶/石砖台阶/石英台阶/下界砖台阶
stone_block_slab2 红砂岩台阶/紫珀台阶/海晶石台阶/暗海晶石台阶/海晶石砖台阶/苔石台阶/平滑砂岩台阶/红色下界砖台阶
stone_block_slab3 末地石砖台阶/平滑红砂岩台阶/磨制安山岩台阶/安山岩台阶/闪长岩台阶/磨制闪长岩台阶/花岗岩台阶/磨制花岗岩台阶
stone_block_slab4 苔石砖台阶/平滑石英台阶/石头台阶/切制砂岩台阶/切制红砂岩台阶
stone_brick_stairs 石砖楼梯
stone_button 石头按钮
stone_pressure_plate 石头压力板
stone_stairs 石头楼梯
stonebrick 石砖/苔石砖/裂纹石砖/雕纹石砖
stonecutter_block 切石机
stripped_acacia_log 去皮金合欢原木
stripped_bamboo_block 去皮竹块
stripped_birch_log 去皮白桦原木
stripped_cherry_log 去皮樱花原木
stripped_cherry_wood 去皮樱花木
stripped_crimson_hyphae 去皮绯红菌核
stripped_crimson_stem 去皮绯红菌柄
stripped_dark_oak_log 去皮深色橡木原木
stripped_jungle_log 去皮丛林原木
stripped_mangrove_log 去皮红树原木
stripped_mangrove_wood 去皮红树木
stripped_oak_log 去皮橡木原木
stripped_spruce_log 去皮云杉原木
stripped_warped_hyphae 去皮诡异菌核
stripped_warped_stem 去皮诡异菌柄
structure_block 结构方块
structure_void 结构空位
suspicious_gravel 可疑的沙砾
suspicious_sand 可疑的沙子
sweet_berry_bush 甜浆果丛
tallgrass 蕨/草
target 标靶
tinted_glass 遮光玻璃
tnt TNT
torch 火把
torchflower 火把花
torchflower_crop 火把花植株
trapdoor 橡木活板门
trapped_chest 陷阱箱
trip_wire 绊线
tripwire_hook 绊线钩
tube_coral 管珊瑚
tuff 凝灰岩
turtle_egg 海龟蛋
twisting_vines 缠怨藤
undyed_shulker_box 潜影盒
unknown 数据更新方块
unlit_redstone_torch 熄灭的红石火把
unpowered_comparator 红石比较器
unpowered_repeater 红石中继器
verdant_froglight 青翠蛙明灯
vine 藤蔓
wall_banner 墙上的旗帜
wall_sign 墙上的橡木告示牌
warped_button 诡异木按钮
warped_door 诡异木门
warped_double_slab 双诡异木台阶
warped_fence 诡异木栅栏
warped_fence_gate 诡异木栅栏门
warped_fungus 诡异菌
warped_hanging_sign 悬挂式诡异木告示牌
warped_hyphae 诡异菌核
warped_nylium 诡异菌岩
warped_planks 诡异木板
warped_pressure_plate 诡异木压力板
warped_roots 诡异菌索
warped_slab 诡异木台阶
warped_stairs 诡异木楼梯
warped_standing_sign 诡异木告示牌
warped_stem 诡异菌柄
warped_trapdoor 诡异木活板门
warped_wall_sign 墙上的诡异木告示牌
warped_wart_block 诡异疣块
water 水
waterlily 睡莲
waxed_copper 涂蜡铜块
waxed_cut_copper 涂蜡切制铜块
waxed_cut_copper_slab 涂蜡切制铜台阶
waxed_cut_copper_stairs 涂蜡切制铜楼梯
waxed_double_cut_copper_slab 涂蜡双切制铜台阶
waxed_exposed_copper 斑驳的涂蜡铜块
waxed_exposed_cut_copper 斑驳的涂蜡切制铜块
waxed_exposed_cut_copper_slab 斑驳的涂蜡切制铜台阶
waxed_exposed_cut_copper_stairs 斑驳的涂蜡切制铜楼梯
waxed_exposed_double_cut_copper_slab 斑驳的涂蜡双切制铜台阶
waxed_oxidized_copper 氧化的涂蜡铜块
waxed_oxidized_cut_copper 氧化的涂蜡切制铜块
waxed_oxidized_cut_copper_slab 氧化的涂蜡切制铜台阶
waxed_oxidized_cut_copper_stairs 氧化的涂蜡切制铜楼梯
waxed_oxidized_double_cut_copper_slab 氧化的涂蜡双切制铜台阶
waxed_weathered_copper 锈蚀的涂蜡铜块
waxed_weathered_cut_copper 锈蚀的涂蜡切制铜块
waxed_weathered_cut_copper_slab 锈蚀的涂蜡切制铜台阶
waxed_weathered_cut_copper_stairs 锈蚀的涂蜡切制铜楼梯
waxed_weathered_double_cut_copper_slab 锈蚀的涂蜡双切制铜台阶
weathered_copper 锈蚀的铜块
weathered_cut_copper 锈蚀的切制铜块
weathered_cut_copper_slab 锈蚀的切制铜台阶
weathered_cut_copper_stairs 锈蚀的切制铜楼梯
weathered_double_cut_copper_slab 锈蚀的双切制铜台阶
web 蜘蛛网
weeping_vines 垂泪藤
wheat 小麦
white_candle 白色蜡烛
white_candle_cake 插上白色蜡烛的蛋糕
white_carpet 白色地毯
white_concrete 白色混凝土
white_glazed_terracotta 白色带釉陶瓦
white_shulker_box 白色潜影盒
white_wool 白色羊毛
wither_rose 凋灵玫瑰
wood 橡木/云杉木/白桦木/丛林木/金合欢木/深色橡木/去皮橡木/去皮云杉木/去皮白桦木/去皮丛林木/去皮金合欢木/去皮深色橡木
wooden_button 橡木按钮
wooden_door 橡木门
wooden_pressure_plate 橡木压力板
wooden_slab 橡木台阶/云杉木台阶/白桦木台阶/丛林木台阶/金合欢木台阶/深色橡木台阶
